cipher "GP (64-bit)"   "SSE (128-bit)"     "AVX (128-bit)"     "AVX2 (256-bit)"    "AVX512 (512-bit)"
"ACE"   0.70  1  1.41   2.75   4.17
"AES"   0.50  1  1.24   2.43   4.40
"Ascon"   0.55  1  1.25   2.43   3.43
"Clyde"   0.58  1  1.13   2.07   3.00
"DES"   0.60  1  1.31   2.69   4.46
"Gift"   0.61  1  1.13   2.26   3.91
"Gimli"   0.53  1  1.03   1.99   2.85
"Photon"   0.58  1  1.06   2.08   3.00
"Present"   0.25  1  1.13   2.14   3.58
"Pyjamask"   0.64  1  1.32   2.51   4.12
"Rectangle"   0.60  1  1.22   2.31   3.89
"Serpent"   0.60  1  1.14   2.22   3.86
"Skinny"   0.66  1  1.23   2.43   3.59
"Spongent"   0.52  1  1.20   2.39   3.46
"Subterranean"   0.59  1  1.23   2.41   3.05
"Xoodoo"   0.51  1  0.92   1.72   2.31
