     ua_MACRO_DIRECT_NOEXP : 680.06  [ 680.04, 679.12, 684.79, 679.48, 679.98, 680.09, 679.74, 678.67, 678.79, 679.85, 677.22, 678.24, 681.20, 680.16, 681.49, 682.54, 679.29, 683.42, 679.79, 677.21 ]
   ua_MACRO_INDIRECT_NOEXP : 680.82  [ 679.09, 679.81, 685.50, 681.03, 682.49, 679.56, 681.24, 684.67, 680.11, 680.91, 678.00, 680.95, 681.49, 679.49, 679.59, 680.74, 679.15, 680.23, 682.06, 680.39 ]
   full_kivi_DIRECT_manual : 692.95  [ 693.99, 692.98, 694.58, 694.88, 690.13, 695.54, 692.52, 693.45, 692.10, 692.18, 690.83, 691.85, 690.59, 693.89, 693.81, 691.23, 692.75, 691.86, 695.52, 694.26 ]
          full_kivi_DIRECT : 693.13  [ 693.15, 692.20, 693.95, 692.53, 692.31, 691.63, 692.86, 691.48, 692.83, 693.73, 691.72, 693.97, 693.35, 693.49, 692.56, 694.59, 693.85, 692.70, 694.48, 695.18 ]
 ua_KIVI_INDIRECT_EXPANDED : 697.70  [ 699.03, 699.66, 701.76, 698.61, 695.80, 701.48, 695.68, 697.24, 698.59, 697.18, 699.14, 696.82, 695.77, 695.99, 697.83, 694.90, 698.24, 696.24, 697.11, 696.89 ]
   ua_KIVI_DIRECT_EXPANDED : 698.34  [ 696.56, 699.96, 699.01, 702.51, 699.21, 702.26, 698.54, 698.77, 698.62, 697.89, 696.03, 700.38, 695.00, 697.36, 696.03, 697.70, 696.50, 696.73, 698.38, 699.38 ]
        full_kivi_INDIRECT : 698.87  [ 701.67, 699.65, 699.33, 701.67, 697.08, 697.68, 697.38, 699.46, 699.73, 696.99, 698.45, 697.74, 696.26, 699.14, 699.08, 697.09, 701.31, 698.17, 699.64, 699.83 ]
  ua_MACRO_DIRECT_EXPANDED : 729.28  [ 728.78, 729.98, 730.35, 730.41, 727.52, 731.66, 727.45, 729.66, 727.78, 729.79, 728.93, 730.24, 729.57, 727.74, 725.18, 729.91, 729.06, 730.60, 729.57, 731.49 ]
ua_MACRO_INDIRECT_EXPANDED : 729.96  [ 728.79, 728.49, 731.77, 727.60, 728.22, 727.93, 726.09, 741.81, 732.05, 728.28, 728.45, 729.62, 728.57, 727.22, 730.09, 733.61, 729.49, 731.01, 733.38, 726.76 ]
    ua_KIVI_INDIRECT_NOEXP : 751.61  [ 742.57, 743.87, 744.28, 743.37, 745.23, 745.79, 746.24, 890.32, 744.36, 743.91, 740.34, 742.65, 742.89, 743.00, 745.03, 741.58, 746.54, 742.88, 753.03, 744.30 ]
      ua_KIVI_DIRECT_NOEXP : 760.34  [ 928.26, 743.78, 744.49, 751.30, 743.42, 746.95, 744.27, 744.52, 742.77, 745.87, 742.81, 742.50, 741.94, 741.43, 744.46, 743.93, 741.85, 882.23, 744.68, 745.43 ]
