
avx512-hslice 3.64 2.51           |         1.13 2.51
avx512-bitslice 2.05 0.66           |         1.39 0.66
avx512-vslice-inter 1.19 0.09           |         1.1 0.09

avx2-hslice 7.71 5.13           |         2.58 5.13
avx2-bitslice 4.03 1.48           |         2.55 1.48
avx2-vslice-inter 1.97 0.19           |         1.78 0.19

avx-hslice 14.57 10.47           |         4.1 10.47
avx-bitslice 8.29 2.93           |         5.36 2.93
avx-vslice-inter 3.94 0.38           |         3.56 0.38

sse-hslice 14.98 10.76           |         4.22 10.76
sse-bitslice 8.90 3.13           |         5.77 3.13
sse-vslice-inter 4.04 0.38           |         3.66 0.38

std-bitslice 15.92 6.12           |         9.8 6.12
std-vslice-inter 29.26 0.00           |         29.26 0.00
